央视频道,#genre#
CCTV-8电视剧,http://140.207.241.3:8080/live/program/live/cctv8hd/4000000/mnf.m3u8

CCTV-9纪录,http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8

CCTV-10科教,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8

CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8

CCTV-10科教,http://140.207.241.3:8080/live/program/live/cctv10hd/4000000/mnf.m3u8

CCTV-12社会,http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8

CCTV-12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8

CCTV-14少儿,http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8

CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8

CCTV-14少儿,http://140.207.241.3:8080/live/program/live/cctvsehd/4000000/mnf.m3u8

CCTV15,http://39.135.138.60:18890/PLTV/88888910/224/3221225641/index.m3u8

CCTV13新闻,http://39.135.138.60:18890/PLTV/88888910/224/3221225638/index.m3u8

CCTV-16奥林,http://39.134.115.163:8080/PLTV/88888910/224/3221226230/index.m3u8

CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225908/index.m3u8

CCTV-17农业,http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8

CCTV-17农业,http://39.134.115.163:8080/PLTV/88888910/224/3221225909/index.m3u8

CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8

CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8

CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225619/index.m3u8

CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8

CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8

CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8

CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225650/index.m3u8

CCTV6,http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8

CCTV7,http://39.135.138.60:18890/PLTV/88888910/224/3221225624/index.m3u8

CCTV7,http://39.135.138.59:18890/PLTV/88888910/224/3221225644/index.m3u8

CCTV8,http://39.135.138.59:18890/PLTV/88888910/224/3221225631/index.m3u8

CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8

CCTV9,http://39.135.138.59:18890/PLTV/88888910/224/3221225626/index.m3u8

CCTV9,http://39.135.138.60:18890/PLTV/88888910/224/3221225646/index.m3u8

CCTV10,http://39.135.138.59:18890/PLTV/88888910/224/3221225627/index.m3u8

CCTV10,http://39.135.138.60:18890/PLTV/88888910/224/3221225636/index.m3u8

CCTV11,http://39.135.138.59:18890/PLTV/88888910/224/3221225628/index.m3u8

CCTV12,http://39.135.138.59:18890/PLTV/88888910/224/3221225629/index.m3u8

CCTV12,http://39.135.138.60:18890/PLTV/88888910/224/3221225637/index.m3u8

CCTV14,http://39.135.138.60:18890/PLTV/88888910/224/3221225639/index.m3u8

CCTV14,http://39.135.138.59:18890/PLTV/88888910/224/3221225640/index.m3u8

CCTV17,http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8

CCTV13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
